pertinent,,,,,
benevolent,benevolence,,,,
tact,,,,,
reiterates,reiterating,reiterated,reiterate,,
propensity,,,,,
verbose,verbosity,,,,
inchoate,,,,,
caustic,,,,,
denounced,denounce,,,,
perfidious,perfidy,,,,
mollify,,,,,
coalescing,coalesced,,,,
heterodox,,,,,
panacea,,,,,
harbingers,harbinger,,,,
cursory,,,,,
perfunctory,,,,,
recondite,,,,,
daunt,daunting,daunted,,,
fecklessness,feckless,,,,
intimately,intimations,intimating,,,
tepid,,,,,
feigned,feigning,,,,
transgressions,transgress,transgression,,,
documentary,documentaries,,,,
render,rendered,,,,
sanguine,,,,,
bucolic,,,,,
erratically,erratic,,,,
noxious,,,,,
alacrity,,,,,
accentuate,accentuated,,,,
predicament,,,,,
deleterious,,,,,
phlegmatic,phlegmatically,,,,
apathy,,,,,
ebullience,ebullient,,,,
insularity,insular,,,,
austerity,austere,,,,
exigency,exigent,,,,
indefatigability,indefatigable,,,,
inscrutable,inscrutability,,,,
indolence,,,,,
pedestrian,,,,,
pugnacious,pugnaciously,,,,
pernicious,,,,,
viable,,,,,
inveigling,inveigle,,,,
copious,,,,,
reticence,reticent,,,,
evasive,evasiveness,,,,
quirkiness,quirky,,,,
undercut,undercutting,,,,
polemical,,,,,
misnomer,,,,,
wheedle,wheedling,,,,
supplication,supplicant,supplicate,,,
insolence,insolently,,,,
prophetic,prophet,,,,
incongruous,,,,,
belligerent,belligerently,,,,
frivolity,frivolous,,,,
complementary,,,,,
prosaic,,,,,
hackneyed,,,,,
aloofness,aloof,,,,
circumscribed,,,,,
interchangeable,,,,,
bogus,,,,,
miserliness,miserly,,,,
alienate,alienated,,,,
demur,,,,,
quixotic,,,,,
flouting,flout,,,,
understated,,,,,
relinquishment,relinquish,,,,
elated,,,,,
robust,,,,,
lionize,lionization,lionized,,,
synoptic,,,,,
stigmatize,stigmatization,,,,
circumspect,,,,,
immutable,immutability,,,,
empirically,empirical,,,,
terseness,terse,,,,
admonished,admonishment,admonish,,,
repertoire,,,,,
ascribe,ascribed,,,,
esoteric,,,,,
temporal,temporization,,,,
coercion,,,,,
ceased,ceases,,,,
surmounted,surmountable,,,,
preclude,precludes,precluded,,,
amenable,,,,,
attenuate,attenuation,,,,
elucidating,elucidate,elucidation,,,
foolhardy,,,,,
zealous,,,,,
approbation,,,,,
hindered,hinder,,,,
cogent,,,,,
onerous,,,,,
reproach,reproaches,,,,
fallacy,fallacious,,,,
adulteration,adulterated,,,,
comply,complying,,,,
lavishing,lavish,,,,
dissident,dissidents,,,,
touting,tout,,,,
glibness,glib,,,,
exculpate,,,,,
premeditation,premeditated,,,,
salutary,,,,,
burnish,,,,,
aver,,,,,
sparse,sparsely,,,,
flamboyant,flamboyance,,,,
chicanery,,,,,
stint,stinting,,,,
vacillate,vacillation,,,,
burgeon,,,,,
decipher,deciphering,,,,
intrepid,,,,,
qualms,,,,,
distressing,distress,distressed,,,
beneficent,,,,,
falter,falters,,,,
dwindles,dwindle,,,,
furtive,,,,,
contrite,contrition,,,,
whimsical,,,,,
tortuous,,,,,
liability,,,,,
aggrandize,aggrandized,,,,
implacable,,,,,
veracity,,,,,
turbulent,turbulence,,,,
profusely,profuse,,,,
facetious,,,,,
shrill,,,,,
nonplussed,,,,,
impudent,,,,,
tangential,,,,,
propriety,,,,,
craven,,,,,
nonchalance,nonchalant,,,,
covert,,,,,
ingenuity,ingenuous,,,,
lethargic,,,,,
decries,decried,,,,
axiomatic,,,,,
abate,abated,,,,
dispensed,dispense,dispensable,,,
ascetic,,,,,
disseminated,disseminate,,,,
mimic,,,,,
prescient,,,,,
lucrative,,,,,
cherished,,,,,
irksome,,,,,
gratifying,,,,,
predilection,,,,,
adroit,,,,,
feeble,feebleness,,,,
visionary,,,,,
momentary,,,,,
buoyant,,,,,
provincial,,,,,
abreast,,,,,
quandary,,,,,
vanquished,,,,,
cosmopolitanism,cosmopolitan,,,,
jettison,,,,,
haughty,,,,,
lament,lamented,,,,
salubrious,,,,,
slanderous,slandered,,,,
timorous,,,,,
evanescent,,,,,
nascent,,,,,
malleable,,,,,
pretentious,,,,,
thoroughness,,,,,
equitable,,,,,
pellucidity,,,,,
eclipse,,,,,
rumination,,,,,
restive,,,,,
unseemly,,,,,
fanciful,,,,,
virulence,virulent,,,,
profligate,,,,,
exotic,,,,,
sham,,,,,
cloaked,cloak,,,,
didactic,,,,,
scrupulous,,,,,
entrenched,,,,,
venal,,,,,
prowess,,,,,
curtail,curtailed,,,,
enchanted,enchant,,,,
incessant,,,,,
euphoric,,,,,
forsake,,,,,
estrangement,,,,,
feasible,,,,,
antedated,,,,,
lax,laxative,,,,
tendentious,tendentiousness,,,,
heterogeneous,,,,,
stringent,,,,,
disdain,,,,,
elicited,elicit,,,,
lulled,lull,,,,
archaic,,,,,
exhausted,exhaustive,,,,
pliant,,,,,
divulge,,,,,
impugn,impugned,,,,
petulant,,,,,
acclaimed,,,,,
veritable,,,,,
satirize,,,,,
platitude,,,,,
vapid,,,,,
covetous,covet,,,,
sedulous,sedulity,,,,
quibble,quibbles,,,,
deride,derided,,,,
commencement,commence,,,,
amendment,amended,,,,
astute,,,,,
fervor,,,,,
steadfast,,,,,
barren,,,,,
gainsay,,,,,
nullify,,,,,
congenial,congeniality,,,,
dupe,,,,,
apt,,,,,
flustered,,,,,
regression,,,,,
decorum,,,,,
censure,,,,,
contravened,,,,,
avaricious,,,,,
chauvinistic,chauvinist,,,,
harangue,,,,,
quarantine,,,,,
exonerate,exoneration,,,,
chivalrous,,,,,
ingrained,,,,,
tedious,,,,,
adept,,,,,
grievance,grievances,,,,
abeyance,,,,,
manifest,,,,,
redoubtable,,,,,
enmity,,,,,
distend,,,,,
renounce,,,,,
obliviousness,oblivious,,,,
conjecture,conjectures,,,,
opprobrium,,,,,
dirge,,,,,
equanimity,,,,,
jeopardized,,,,,
quiescent,,,,,
versatile,,,,,
tangible,,,,,
debilitating,,,,,
foment,,,,,
churlishness,churlish,,,,
astringent,,,,,
exorbitant,,,,,
escalation,escalating,,,,
incidental,incidentally,,,,
forbearing,forbearance,,,,
entitled,,,,,
amorphousness,amorphous,,,,
headstrong,,,,,
surreptitious,surreptitiously,,,,
trenchant,,,,,
endemic,,,,,
conducive,,,,,
idiosyncratically,idiosyncratic,,,,
spendthrift,,,,,
plod,,,,,
replenishing,replenish,,,,
evaded,evade,,,,
inundate,,,,,
foil,,,,,
plaintive,,,,,
exorcise,exorcised,,,,
relent,,,,,
libertine,,,,,
relish,,,,,
omnipresent,,,,,
canny,,,,,
scornful,,,,,
punctiliousness,,,,,
scintillating,,,,,
incendiary,,,,,
clangorous,,,,,
construe,,,,,
anoint,,,,,
glum,,,,,
munificent,,,,,
mendacity,,,,,
proxy,,,,,
modish,,,,,
calumnious,,,,,
hodgepodge,,,,,
recrudescent,,,,,
galvanize,,,,,
loathed,,,,,
apologist,,,,,
portend,,,,,
utterly,,,,,
skittish,,,,,
vociferous,,,,,
debunking,,,,,
scathing,,,,,
peculiarity,,,,,
malfeasance,,,,,
cerebral,,,,,
schism,,,,,
panache,,,,,
gawkiness,,,,,
festering,,,,,
banished,,,,,
immured,,,,,
pithy,,,,,
heed,,,,,
crestfallen,,,,,
strife,,,,,
humdrum,,,,,
manacled,,,,,
bridling,,,,,
disentanglement,,,,,
subvert,,,,,
ascertained,,,,,
cataclysmic,,,,,
upbraid,,,,,
inveterate,,,,,
proficient,,,,,
conciliatory,,,,,
mettlesome,,,,,
cumbersome,,,,,
sluggish,,,,,
abjure,,,,,
rapacious,,,,,
ostentatious,,,,,
mercenary,,,,,
boisterous,,,,,
edifying,,,,,
acolyte,,,,,
impertinence,,,,,
befuddlement,,,,,
conviviality,,,,,
enthralling,,,,,
abet,,,,,
fallibility,,,,,
discreet,,,,,
inviolate,,,,,
fervent,,,,,
paradigmatic,,,,,
obeisance,,,,,
unscrupulous,,,,,
soporific,,,,,
haphazard,,,,,
bereft,,,,,
ploy,,,,,
pomposity,,,,,
deprecation,,,,,
ravaged,,,,,
cajole,,,,,
gaucheness,,,,,
sophistry,,,,,
quashing,,,,,
brooked,,,,,
droll,,,,,
coy,,,,,
wily,,,,,
affronted,,,,,
recant,,,,,
eschew,,,,,
delusion,,,,,
countenance,,,,,
limpid,,,,,
rudimentary,,,,,
irreverence,,,,,
vitiates,,,,,
swindle,,,,,
curmudgeon,,,,,
xenophobe,,,,,
miscreant,,,,,
unalloyed,,,,,
excoriation,,,,,
lambaste,,,,,
turpitude,,,,,
philistine,,,,,
felicitous,,,,,
proclivity,,,,,
palpability,,,,,
vivacious,,,,,
gaffe,,,,,
histrionics,,,,,
chastisement,,,,,
renege,,,,,
fervid,,,,,
indiscriminate,,,,,
inborn,,,,,
peccadillo,,,,,
parsimonious,,,,,
chary,,,,,
ardently,,,,,
lampoon,,,,,
treatise,,,,,
expedition,,,,,
lugubrious,,,,,
valorous,,,,,
magisterial,,,,,
macabre,,,,,
dearth,,,,,
barrage,,,,,
goaded,,,,,
subservience,,,,,
curb,,,,,
intermittent,,,,,
repercussion,,,,,
convalescent,,,,,
ire,,,,,
recourse,,,,,
pious,,,,,
finicky,,,,,
perpetrated,,,,,
assail,,,,,
berate,,,,,
subsume,,,,,
despotic,,,,,
intertwined,,,,,
poignant,,,,,
ironclad,,,,,
neophyte,,,,,
abstain,,,,,
umbrage,,,,,
repugnant,,,,,
indispensable,,,,,
animosity,,,,,
desultory,,,,,
torpor,,,,,
stoic,,,,,
boorishness,,,,,
truculent,,,,,
altruist,,,,,
stern,,,,,
duplicitous,,,,,
fledgling,,,,,
tantalized,,,,,
coins,,,,,
abhor,,,,,
explicate,,,,,
trifle,,,,,
